SID,Full_Date,agreeableness_Compassion,agreeableness_Respectfulness,agreeableness_Trust,conscientiousness_Organization,conscientiousness_Productiveness,conscientiousness_Responsibility,extraversion_Assertiveness,extraversion_Energy Level,extraversion_Sociability,neuroticism_Anxiety,neuroticism_Depression,neuroticism_Emotional Volatility,openness_Aesthetic Sensitivity,openness_Creative Imagination,openness_Intellectual Curiosity,all_beeps
15,2018-10-28 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
15,2018-10-28 23:28,NA,4,NA,4,2,NA,2,3,NA,3,3,2,NA,NA,4,41
15,2018-10-29 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
15,2018-10-29 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
15,2018-10-29 11:21,NA,4,4,4,4,NA,3,NA,3,3,3,2,4,3,NA,44
15,2018-10-29 15:01,NA,5,3,4,NA,NA,3,NA,3,4,4,4,4,3,NA,45
15,2018-10-29 19:46,3,NA,4,NA,4,2,2,NA,NA,4,3.5,2,NA,3,3,46
15,2018-10-29 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
15,2018-10-30 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
15,2018-10-30 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
15,2018-10-30 11:27,4,3,NA,3,NA,2,NA,2,2,4,4,3,NA,NA,4,50
15,2018-10-30 15:13,4,NA,3,4,NA,3,NA,2,NA,4,4,3.5,3,NA,NA,51
15,2018-10-30 19:03,NA,4,3,NA,NA,3,NA,2,2,4,4,4,NA,2.5,NA,52
15,2018-10-30 23:58,4,3,NA,4,4,NA,2,4,NA,3.5,4,3,NA,3,4,53
15,2018-10-31 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
15,2018-10-31 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
15,2018-10-31 11:26,3,4,NA,NA,NA,4,1,NA,2,4,4,2,NA,2,2,56
15,2018-10-31 15:07,3.3333333333333335,NA,NA,4,NA,4,NA,2,2,4,3.3333333333333335,NA,3,4,NA,57
15,2018-10-31 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
15,2018-10-31 23:28,2,NA,3,NA,2,3,2,NA,NA,4,4,NA,4,2,NA,59
15,2018-11-01 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
15,2018-11-01 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
15,2018-11-01 11:26,4,3,NA,4,NA,4,NA,4,2,5,5,4,3,NA,2,62
15,2018-11-01 15:02,NA,4,NA,4,4,NA,NA,NA,2,4,4,3,4,3,NA,63
15,2018-11-01 19:01,3,3,NA,4,4,NA,3,1,NA,4,4.5,NA,NA,NA,2.5,64
15,2018-11-01 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
15,2018-11-02 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
15,2018-11-02 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
15,2018-11-02 11:48,3,NA,3,NA,4,4,NA,3,NA,4,3,2,3,3,NA,68
15,2018-11-02 15:27,3,NA,4,NA,3.5,NA,NA,4,4,4,2.5,4,NA,4,4,69
15,2018-11-02 19:44,3,4,NA,4,NA,3,2,4,NA,4,3,4,4,NA,4,70
15,2018-11-02 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
15,2018-11-03 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
15,2018-11-03 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
15,2018-11-03 11:14,NA,4,4,NA,2,4,2,NA,2,4,3.5,4,4,NA,4,74
15,2018-11-03 15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
15,2018-11-03 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
15,2018-11-03 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
15,2018-11-04 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
15,2018-11-04 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
15,2018-11-04 11:27,4,NA,4,NA,2,4,2,NA,NA,4,3,4,3.5,NA,NA,80
15,2018-11-04 15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
15,2018-11-04 19:18,NA,4,4,4,NA,4,2,NA,2,3,3,2,4,NA,3,82
15,2018-11-04 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
15,2018-11-05 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
15,2018-11-05 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
15,2018-11-05 11:26,4,4,NA,NA,NA,4,2,NA,2,4,3,3,NA,3,4,86
15,2018-11-05 15:07,4,5,NA,4,NA,4,4,3,NA,3,4,2,4,3,NA,87
15,2018-11-05 19:03,NA,NA,3.5,4,4,NA,2,3,NA,3,4,2,4,3,NA,88
15,2018-11-05 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
15,2018-11-06 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
15,2018-11-06 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
150,2019-09-23 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
150,2019-09-23 12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
150,2019-09-23 16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
150,2019-09-23 20:12,4,NA,3,NA,4,4,3,NA,NA,2,2.5,NA,NA,3,NA,4
150,2019-09-23 21:23,NA,3.5,NA,4,NA,3,3,3,NA,2,3,2,NA,3,NA,5
150,2019-09-24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
150,2019-09-24 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
150,2019-09-24 8:33,3,NA,3,2,2,NA,2,NA,NA,2,2,NA,2.5,NA,NA,8
150,2019-09-24 12:06,2,NA,3,4,3,NA,2,2,NA,5,2,2,4,2,NA,9
150,2019-09-24 17:53,3,3,NA,NA,4,4,NA,4,NA,3.5,2.5,NA,NA,1,5,10
150,2019-09-24 20:24,NA,NA,3,4,NA,4,NA,NA,2.5,4,2,NA,NA,NA,4,11
150,2019-09-25 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
150,2019-09-25 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
150,2019-09-25 11:39,5,4,NA,4,NA,4,1,NA,2,4,2.5,2,4,NA,5,14
150,2019-09-25 12:59,NA,3,3,4,NA,5,3,NA,1,3.5,2,2,NA,5,4,15
150,2019-09-25 16:30,5,NA,3,5,NA,4,3,4,NA,2,2.3333333333333335,NA,3,2,NA,16
150,2019-09-25 20:09,4,4,NA,4,NA,5,NA,NA,2,1.5,2.5,NA,NA,2,2,17
150,2019-09-26 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
150,2019-09-26 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
150,2019-09-26 8:13,5,NA,NA,4,NA,5,3,NA,5,2,2,1,NA,2,NA,20
150,2019-09-26 12:12,NA,NA,3.5,NA,NA,4,NA,2,3,3.5,2,2,2,NA,NA,21
150,2019-09-26 16:44,3,NA,4,5,4,NA,NA,5,4,3,2,NA,2,NA,5,22
150,2019-09-26 20:55,NA,NA,3,3,NA,3,3,NA,5,1,2,1,NA,NA,3,23
150,2019-09-27 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
150,2019-09-27 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
150,2019-09-27 8:57,3,NA,3,5,4,NA,NA,4,2,4,2,1,1,2,NA,26
150,2019-09-27 12:40,3.3333333333333335,NA,NA,5,NA,5,3,NA,1,1.5,1,1,NA,1,1,27
150,2019-09-27 16:11,4,3,NA,3.5,NA,NA,2.5,NA,NA,2,1,1,3,2,NA,28
150,2019-09-27 20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
150,2019-09-28 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
150,2019-09-28 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
150,2019-09-28 9:31,3,3,NA,3,NA,1,1,3,NA,1,1,1,NA,1,1,32
150,2019-09-28 12:18,3.3333333333333335,NA,NA,4.5,NA,NA,NA,3,NA,2,1.5,NA,NA,2,5,33
150,2019-09-28 16:04,NA,5,3,NA,2,4,NA,3,1,2,2,1,4,NA,5,34
150,2019-09-28 22:55,NA,5,NA,4,2,NA,3,NA,1,4,1,1.5,3,NA,3,35
150,2019-09-29 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
150,2019-09-29 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
150,2019-09-29 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
150,2019-09-29 12:01,NA,5,3,5,1,NA,NA,5,4,3,2.5,3,3,3,NA,39
150,2019-09-29 16:54,NA,5,3,NA,2,4,3,5,NA,1,1,1,3,NA,2,40
150,2019-09-29 20:11,3,NA,3,NA,1,5,NA,2,1,4,2,1,2,3,NA,41
150,2019-09-30 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
150,2019-09-30 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
150,2019-09-30 11:36,3,NA,4,5,NA,5,1,NA,2,4,2,1,NA,2,3,44
150,2019-09-30 14:56,3,5,NA,5,1,NA,NA,NA,2,2,2,2,NA,3,1,45
150,2019-09-30 16:01,NA,NA,3,NA,2,5,1,NA,2,4.5,4,3,NA,1,3,46
150,2019-09-30 20:12,4,NA,3,NA,1,3,NA,3.5,NA,3.3333333333333335,2,NA,4,NA,1,47
150,2019-10-01 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
150,2019-10-01 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
150,2019-10-01 9:25,NA,NA,3,NA,1,5,NA,1,1,5,2,1,NA,1,1,50
150,2019-10-01 12:18,NA,5,3,3.5,NA,NA,NA,2,1,5,1,3,3,NA,3,51
150,2019-10-01 17:45,4,4,NA,NA,NA,5,2,NA,4,2,1,1,3,NA,NA,52
150,2019-10-01 20:49,NA,5,3,5,NA,NA,3,NA,NA,5,2,1,1,NA,3,53
150,2019-10-02 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
150,2019-10-02 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
150,2019-10-02 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
150,2019-10-02 12:16,NA,NA,3,NA,5,3,NA,2,NA,5,1,2,3,2,NA,57
150,2019-10-02 16:52,5,5,NA,4,5,NA,NA,3,2,5,1,1,NA,NA,4,58
150,2019-10-02 20:31,NA,5,3,NA,1,NA,2,NA,2,4,2,NA,NA,3,1,59
150,2019-10-03 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
150,2019-10-03 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
150,2019-10-03 8:11,NA,5,4,4,3,NA,4,2,NA,2,2,1,2.5,NA,NA,62
150,2019-10-03 12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
150,2019-10-03 16:53,NA,5,3,3.5,NA,NA,1,1,NA,4.5,3.5,NA,3,2,NA,64
150,2019-10-03 20:39,NA,NA,3.5,4.5,NA,NA,2,4,NA,4.333333333333333,5,NA,3,3,NA,65
150,2019-10-04 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
150,2019-10-04 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
150,2019-10-04 9:57,4,3,NA,NA,3,5,NA,3,1,4,4,NA,3,3,NA,68
150,2019-10-04 12:02,5,NA,NA,5,NA,NA,NA,4,2,4,4,2,3,3,NA,69
150,2019-10-04 16:01,NA,5,4,4,2,NA,NA,NA,2,4.5,4,4,NA,2,NA,70
150,2019-10-04 20:35,5,NA,3,2,NA,5,NA,4,NA,2,2.5,NA,5,5,NA,71
150,2019-10-05 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
150,2019-10-05 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
150,2019-10-05 10:01,3,1,NA,NA,1,5,1,NA,1,1,1,1,1,NA,1,74
150,2019-10-05 12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
150,2019-10-05 16:01,NA,3,4,5,NA,NA,NA,NA,2,3,2.5,2,NA,NA,3,76
150,2019-10-05 20:17,NA,3,3,5,NA,2,3,2,NA,3,3,1,2,3,NA,77
150,2019-10-06 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
150,2019-10-06 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
150,2019-10-06 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
150,2019-10-06 12:40,NA,NA,3,2,2,NA,3,5,NA,2,2,1,3,NA,3,81
150,2019-10-06 16:01,3.3333333333333335,NA,NA,NA,2,4,4,NA,2,2,2,1,NA,5,5,82
150,2019-10-06 20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
150,2019-10-07 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
150,2019-10-07 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
150,2019-10-07 8:09,3,3,NA,5,3,NA,2,NA,NA,2,2,NA,NA,1,1,86
150,2019-10-07 12:01,NA,5,4,4,NA,1,3,3,NA,4,2,1.5,4,2,NA,87
150,2019-10-07 16:02,3,5,NA,5,NA,NA,3,2,NA,5,3,2,3,NA,NA,88
150,2019-10-07 20:10,NA,3,3,4,NA,NA,NA,2,1,5,5,3,NA,3,NA,89
150,2019-10-08 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
150,2019-10-08 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
150,2019-10-08 9:15,3,NA,NA,5,NA,3,NA,NA,1,3,3,3,1,NA,3,92
150,2019-10-08 12:34,NA,5,3,2,NA,3,NA,2,NA,4,4,3,NA,5,1,93
150,2019-10-08 19:03,NA,5,4,NA,1,NA,5,NA,4,4,2,2,NA,2,4,94
150,2019-10-08 20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
150,2019-10-09 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
150,2019-10-09 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
150,2019-10-09 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
150,2019-10-09 12:25,3.5,NA,NA,5,NA,5,3,2,NA,3,2,1,3,NA,2,99
150,2019-10-09 16:07,NA,3.6666666666666665,NA,NA,NA,4,1,NA,2,2.5,2,2,3,3,NA,100
150,2019-10-09 20:20,5,NA,3,2,1,NA,2,NA,5,3,2.5,NA,NA,5,2,101
150,2019-10-10 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
150,2019-10-10 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
150,2019-10-10 8:21,5,3,NA,5,1,NA,3,1,NA,4.5,2,3,1,NA,1,104
150,2019-10-10 12:01,NA,3.3333333333333335,NA,5,NA,3,NA,4,NA,1,1,5,NA,NA,4,105
150,2019-10-10 16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
150,2019-10-10 22:32,NA,5,3,5,NA,NA,NA,4,5,3,2.5,NA,3,NA,2,107
150,2019-10-11 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
150,2019-10-11 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
150,2019-10-11 9:35,NA,5,3,NA,1,3,2,NA,NA,3,2,NA,NA,NA,1.5,110
150,2019-10-11 12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
150,2019-10-11 18:03,5,NA,3,5,NA,NA,NA,3,NA,4,3,4,NA,1,3,112
150,2019-10-11 20:48,5,NA,3,NA,NA,3.5,3,NA,NA,5,3,1,3,2,NA,113
150,2019-10-12 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
150,2019-10-12 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
150,2019-10-12 8:43,3,3,NA,3,NA,NA,1,NA,1,3,2,1,3,5,NA,116
150,2019-10-12 14:06,3,NA,3,NA,1,2,1,NA,1,4,4,NA,4,NA,2,117
150,2019-10-12 16:02,4.333333333333333,NA,NA,4,NA,5,3,NA,1,2,2,NA,NA,4,1,118
150,2019-10-12 20:17,3,3,NA,4,NA,5,NA,NA,1,2,4,3,3,NA,NA,119
150,2019-10-13 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
150,2019-10-13 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
150,2019-10-13 9:04,NA,5,3,3,NA,3,3,NA,1,3,2.3333333333333335,NA,3,NA,3,122
150,2019-10-13 13:03,NA,4,NA,NA,NA,3,1,1,NA,3.5,4,NA,NA,4,2,123
150,2019-10-13 18:26,3,5,NA,2.5,NA,NA,2,NA,NA,3,4,4,3,3,NA,124
150,2019-10-13 23:48,3,NA,NA,NA,NA,4,3,NA,NA,3,2,1,NA,3,4,125
150,2019-10-14 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
150,2019-10-14 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
150,2019-10-14 9:20,3,3,NA,NA,1,3,NA,NA,2,3,2,NA,NA,1,1,128
150,2019-10-14 14:04,NA,3,3,NA,2,4,NA,4,5,4,2.5,2,3,1,NA,129
150,2019-10-14 16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
150,2019-10-14 20:01,3,NA,3,5,NA,3,2,4,NA,4.5,4,3,NA,1,1,131
150,2019-10-15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
150,2019-10-15 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
150,2019-10-15 9:55,NA,4,3,4,2,NA,NA,3,4,4,2.5,4,3,1,NA,134
150,2019-10-15 13:13,3,5,NA,5,2,NA,NA,NA,2.5,2.5,2,1,3,NA,NA,135
150,2019-10-15 16:24,4,3,NA,5,4,NA,4,3,NA,2,2,1,3,2,NA,136
150,2019-10-15 20:25,NA,3,3,NA,1,3,NA,2,NA,4,4,2.5,2.5,NA,NA,137
150,2019-10-16 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
150,2019-10-16 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
150,2019-10-16 9:55,3,NA,4,NA,2,3,4,3,NA,2,2,1.5,3,NA,2,140
150,2019-10-16 12:02,NA,5,4,NA,5,4,NA,4,4,2.5,2,1,3,NA,4,141
150,2019-10-16 16:01,4,5,NA,4.5,NA,NA,NA,3,1,3,1,2,4,NA,2,142
150,2019-10-16 21:09,3,4,NA,2,1,NA,NA,NA,4,5,5,4.5,NA,1,2,143
150,2019-10-17 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144
150,2019-10-17 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
150,2019-10-17 8:19,3,3,NA,NA,1,1,NA,1,1,3,1,1,3,3,NA,146
150,2019-10-17 12:01,NA,5,3,4,4,NA,NA,2,1,5,2,1,NA,NA,4,147
150,2019-10-17 17:31,5,NA,3,3,2,NA,NA,2,1,5,3.5,2,1,NA,4,148
150,2019-10-17 22:43,NA,5,4,5,5,NA,2,NA,5,2,3,3,3,NA,4,149
150,2019-10-18 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
150,2019-10-18 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
150,2019-10-18 10:09,5,3,NA,NA,4,4,3,5,NA,2,1,1,3,NA,5,152
150,2019-10-18 12:23,NA,4,NA,4,NA,5,3,NA,NA,1,1,1,5,3,NA,153
150,2019-10-18 16:06,NA,NA,3,4,NA,5,2,NA,4,1,1,1,NA,3,3,154
150,2019-10-18 23:16,3,NA,3,3,NA,5,NA,5,5,1.5,1,NA,3,5,NA,155
150,2019-10-19 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
150,2019-10-19 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157
150,2019-10-19 8:46,NA,3,3,3,1,NA,1,NA,3,1,1,1,NA,NA,1,158
150,2019-10-19 12:10,NA,3.6666666666666665,NA,4,3,NA,2,NA,NA,2.5,1.5,NA,3,3,NA,159
150,2019-10-19 16:25,3,NA,3,4,2,NA,NA,4,5,2.6666666666666665,1,NA,2,4,NA,160
150,2019-10-19 20:26,NA,5,4,4,NA,NA,3,NA,2,3,1,1,NA,NA,2,161
150,2019-10-20 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162
150,2019-10-20 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
150,2019-10-20 11:19,NA,5,3,NA,4,4,1,NA,4,1.5,1,1,3,NA,NA,164
150,2019-10-20 12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
150,2019-10-20 16:58,4,5,NA,4,NA,4,4,NA,2,2,2,NA,3,NA,2,166
150,2019-10-20 20:58,NA,5,3,NA,NA,4,3,2,NA,1.5,5,5,3,NA,NA,167
150,2019-10-21 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
150,2019-10-21 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
150,2019-10-21 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170
150,2019-10-21 12:01,NA,NA,3,1,NA,1,2.5,NA,NA,5,1,1,3,3,NA,171
150,2019-10-21 16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172
150,2019-10-21 20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173
150,2019-10-22 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174
150,2019-10-22 4:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175
152,2019-09-23 9:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
152,2019-09-23 14:19,2,NA,3,2,4,NA,2,2,NA,2.5,1,2,3,NA,NA,2
152,2019-09-23 17:34,4,NA,3,NA,4,3,NA,5,5,1.5,1,NA,NA,4,NA,3
152,2019-09-23 21:30,NA,5,3,3,NA,3,2,NA,5,1,4,4,NA,NA,3,4
152,2019-09-24 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
152,2019-09-24 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
152,2019-09-24 9:42,3,NA,3,NA,NA,4,NA,3,4,2,1.5,2,2.5,NA,NA,7
152,2019-09-24 13:17,3,3,NA,NA,NA,2.5,NA,2,NA,3,2,3,2,3,NA,8
152,2019-09-24 17:04,NA,NA,3,4,NA,4,5,NA,4,1,1,2,NA,3,1,9
152,2019-09-24 21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
152,2019-09-25 0:04,NA,4,3,NA,2.5,NA,NA,NA,3,2.5,1,2,NA,5,5,11
152,2019-09-25 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
152,2019-09-25 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
152,2019-09-25 9:20,NA,3,3,NA,NA,3.5,3,3,NA,3,1.5,NA,2,3,NA,14
152,2019-09-25 14:24,NA,3,2,3,4,NA,3,NA,4,4,2.5,4,3.5,NA,NA,15
152,2019-09-25 17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
152,2019-09-25 21:25,NA,3.5,NA,NA,3.5,NA,NA,4,4,2,2,3,5,3,NA,17
152,2019-09-26 1:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
152,2019-09-26 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
